,MA_dates,Time_periods,Profit_rate,Profit_rate_annual,Profit_original,Profit_original_annual,outperform
0,7,182,12.19%,25.93%,12.49%,26.62%,-0.68%
1,8,182,15.83%,34.27%,12.49%,26.62%,7.65%
2,9,182,18.08%,39.57%,12.49%,26.62%,12.95%
3,10,182,17.25%,37.59%,12.49%,26.62%,10.97%
4,11,182,25.91%,58.72%,12.49%,26.62%,32.10%
5,12,182,23.79%,53.43%,12.49%,26.62%,26.81%
6,13,182,26.02%,59.02%,12.49%,26.62%,32.40%
7,14,182,19.25%,42.34%,12.49%,26.62%,15.73%
8,15,182,21.22%,47.10%,12.49%,26.62%,20.48%
9,16,182,27.53%,62.87%,12.49%,26.62%,36.25%
10,17,182,25.75%,58.34%,12.49%,26.62%,31.72%
11,18,182,27.18%,61.95%,12.49%,26.62%,35.33%
12,19,182,27.15%,61.88%,12.49%,26.62%,35.26%
13,20,182,27.15%,61.88%,12.49%,26.62%,35.26%
14,21,182,25.40%,57.46%,12.49%,26.62%,30.84%
15,22,182,26.32%,59.76%,12.49%,26.62%,33.14%
16,23,182,25.64%,58.06%,12.49%,26.62%,31.44%
17,24,182,25.64%,58.06%,12.49%,26.62%,31.44%
18,25,182,25.64%,58.06%,12.49%,26.62%,31.44%
19,26,182,22.66%,50.62%,12.49%,26.62%,24.00%
20,27,182,21.34%,47.39%,12.49%,26.62%,20.77%
21,28,182,22.06%,49.16%,12.49%,26.62%,22.54%
22,29,182,20.51%,45.38%,12.49%,26.62%,18.77%
23,30,182,17.08%,37.20%,12.49%,26.62%,10.59%
24,7,365,1.45%,1.45%,16.23%,16.23%,-14.78%
25,8,365,10.08%,10.08%,16.23%,16.23%,-6.14%
26,9,365,7.72%,7.72%,16.23%,16.23%,-8.50%
27,10,365,6.20%,6.20%,16.23%,16.23%,-10.03%
28,11,365,18.14%,18.14%,16.23%,16.23%,1.91%
29,12,365,16.04%,16.04%,16.23%,16.23%,-0.18%
30,13,365,22.61%,22.61%,16.23%,16.23%,6.38%
31,14,365,12.56%,12.56%,16.23%,16.23%,-3.67%
32,15,365,14.34%,14.34%,16.23%,16.23%,-1.88%
33,16,365,20.85%,20.85%,16.23%,16.23%,4.63%
34,17,365,13.53%,13.53%,16.23%,16.23%,-2.70%
35,18,365,12.76%,12.76%,16.23%,16.23%,-3.47%
36,19,365,7.84%,7.84%,16.23%,16.23%,-8.39%
37,20,365,7.84%,7.84%,16.23%,16.23%,-8.39%
